country_code,year,quarter,hdd_sum,cdd_sum,temp_mean_q
USA,2010,1,1403.6,0.0,2.4044444444444446
USA,2010,2,186.6,293.5,19.174725274725276
USA,2010,3,0.0,625.0,24.793478260869566
USA,2010,4,1011.6,10.3,7.1163043478260875
USA,2011,1,1472.4,0.0,1.64
USA,2011,2,209.0,224.0,18.164835164835164
USA,2011,3,13.700000000000001,568.8,24.03369565217391
USA,2011,4,774.1,4.4999999999999964,9.634782608695652
USA,2012,1,1116.2,0.3999999999999986,5.738461538461539
USA,2012,2,212.7,202.0,17.88241758241758
USA,2012,3,10.000000000000004,570.5,24.092391304347824
USA,2012,4,893.2,11.100000000000001,8.41195652173913
USA,2013,1,1407.0,0.0,2.3666666666666667
USA,2013,2,272.4,188.8,17.08131868131868
USA,2013,3,26.9,456.2,22.666304347826088
USA,2013,4,943.2,25.700000000000003,8.027173913043478
USA,2014,1,1701.6,0.0,-0.9066666666666667
USA,2014,2,273.4,155.3,16.7021978021978
USA,2014,3,12.800000000000006,416.4,22.38695652173913
USA,2014,4,899.7,9.099999999999998,8.319565217391304
USA,2015,1,1705.9,0.0,-0.9544444444444445
USA,2015,2,234.29999999999998,217.0,17.80989010989011
USA,2015,3,0.3000000000000007,533.0,23.790217391304346
USA,2015,4,630.4,3.3000000000000043,11.183695652173913
USA,2016,1,1294.5,0.0,3.7747252747252746
USA,2016,2,317.6,171.0,16.38901098901099
USA,2016,3,5.399999999999999,625.1,24.73586956521739
USA,2016,4,844.2,17.2,9.01086956521739
USA,2017,1,1247.5,0.0,4.138888888888889
USA,2017,2,221.2,176.5,17.50879120879121
USA,2017,3,6.799999999999997,478.7,23.129347826086956
USA,2017,4,887.2,35.2,8.73913043478261
USA,2018,1,1390.6,0.0,2.548888888888889
USA,2018,2,294.3,176.1,16.701098901098902
USA,2018,3,6.899999999999999,548.6,23.88804347826087
USA,2018,4,934.9,40.599999999999994,8.279347826086957
USA,2019,1,1409.5,0.0,2.338888888888889
USA,2019,2,194.4,174.8,17.784615384615385
USA,2019,3,2.5,550.6,23.957608695652173
USA,2019,4,927.5,19.799999999999997,8.133695652173913
USA,2020,1,1144.7,0.0,5.420879120879121
USA,2020,2,352.6,182.9,16.135164835164833
USA,2020,3,20.0,572.4,24.004347826086956
USA,2020,4,803.7,3.3000000000000007,9.3
USA,2021,1,1355.2,0.6999999999999993,2.95
USA,2021,2,256.3,218.60000000000002,17.585714285714285
USA,2021,3,2.4999999999999964,554.1,23.995652173913044
USA,2021,4,748.4,24.699999999999996,10.133695652173913
USA,2022,1,1353.2,0.5,2.97
USA,2022,2,270.1,183.10000000000002,17.043956043956044
USA,2022,3,15.1,580.5,24.145652173913046
USA,2022,4,899.5,7.300000000000001,8.302173913043477
USA,2023,1,1116.5,0.0,5.594444444444444
USA,2023,2,188.5,133.20000000000002,17.392307692307693
USA,2023,3,12.299999999999999,528.3,23.608695652173914
USA,2023,4,809.3,16.3,9.380434782608695
USA,2024,1,1237.8,0.0,4.397802197802197
USA,2024,2,220.79999999999998,260.9,18.44065934065934
USA,2024,3,2.099999999999998,517.5,23.60217391304348
USA,2024,4,797.5,14.500000000000004,9.48913043478261
DEU,2010,1,1701.1,0.0,-0.9011111111111112
DEU,2010,2,526.1,35.900000000000006,12.613186813186813
DEU,2010,3,159.0,193.39999999999998,18.37391304347826
DEU,2010,4,1391.3,0.0,2.877173913043478
DEU,2011,1,1457.6,0.0,1.8044444444444445
DEU,2011,2,299.3,53.89999999999999,15.303296703296702
DEU,2011,3,130.4,81.5,17.468478260869563
DEU,2011,4,1061.1,0.1999999999999993,6.468478260869565
DEU,2012,1,1423.1,0.0,2.3615384615384616
DEU,2012,2,432.7,40.800000000000004,13.693406593406593
DEU,2012,3,129.7,103.0,17.70978260869565
DEU,2012,4,1180.9,0.0,5.164130434782609
DEU,2013,1,1681.0,0.0,-0.6777777777777778
DEU,2013,2,482.8,34.7,13.075824175824177
