iso3,year,region,luminosity_mean,luminosity_sum
RUS,2023,Adygey,1.1674488125558322,61422.984375
RUS,2023,Altay,0.1671713727341301,214085.34375
RUS,2023,Amur,0.0722648772471293,205365.796875
RUS,2023,Arkhangel'sk,0.0575456500432302,285463.65625
RUS,2023,Astrakhan',0.5298434519523503,167771.75
RUS,2023,Bashkortostan,0.6191771164727141,709993.0625
RUS,2023,Belgorod,1.376565837005041,286182.53125
RUS,2023,Bryansk,0.3303808680772804,87126.390625
RUS,2023,Buryat,0.0382299309608044,105984.9140625
RUS,2023,Chechnya,1.5716716064248726,152057.65625
RUS,2023,Chelyabinsk,0.959531260123325,681261.4375
RUS,2023,Chukot,0.0063053998542766,52652.69921875
RUS,2023,Chuvash,1.2607941757050611,190175.671875
RUS,2023,City of St. Petersburg,42.19749616422411,797574.875
RUS,2023,Dagestan,0.4903176284894795,154195.578125
RUS,2023,Gorno-Altay,0.0317217296827924,21647.162109375
RUS,2023,Ingush,1.5021772447653516,30920.81640625
RUS,2023,Irkutsk,0.3453213368895498,2277532.0
RUS,2023,Ivanovo,0.5149056714053958,103787.4765625
RUS,2023,Kabardin-Balkar,0.586189182526009,44061.49609375
RUS,2023,Kaliningrad,0.9577058544755174,104072.9375
RUS,2023,Kalmyk,0.0266943919657284,13413.9853515625
RUS,2023,Kaluga,1.8114182400700125,418104.3125
RUS,2023,Kamchatka,0.012742094113483,52390.49609375
RUS,2023,Karachay-Cherkess,0.3421615562091335,33229.01953125
RUS,2023,Karelia,0.0921237744527699,166274.9375
RUS,2023,Kemerovo,0.6873165040140051,528842.625
RUS,2023,Khabarovsk,0.0297524087590951,187646.359375
RUS,2023,Khakass,0.1170443243967194,54401.265625
RUS,2023,Khanty-Mansiy,0.4034252215927091,2117733.5
RUS,2023,Kirov,0.1214161958010981,129648.578125
RUS,2023,Komi,0.1131303943586271,501374.5625
RUS,2023,Kostroma,0.1405370106798245,74993.78125
RUS,2023,Krasnodar,1.0046727806360345,508501.0625
RUS,2023,Krasnoyarsk,0.0965259550902365,2729177.75
RUS,2023,Kurgan,0.2223467015660816,132889.953125
RUS,2023,Kursk,0.4016949063700212,93398.484375
RUS,2023,Leningrad,1.1366410679931147,898037.375
RUS,2023,Lipetsk,3.7439854115659714,700372.375
RUS,2023,Magadan,0.0169846620664491,79134.9375
RUS,2023,Mariy-El,0.3480040303248988,68958.390625
RUS,2023,Mordovia,1.7633919799973163,367970.53125
RUS,2023,Moscow City,77.83556308799115,703244.3125
RUS,2023,Moskva,7.080065555318162,2717315.0
RUS,2023,Murmansk,0.2692728672888052,473358.8125
RUS,2023,Nenets,0.1518269691849576,328968.65625
RUS,2023,Nizhegorod,0.6567795434216621,411189.96875
RUS,2023,North Ossetia,1.0309124281688584,46643.6328125
RUS,2023,Novgorod,0.3555489525119782,174831.953125
RUS,2023,Novosibirsk,0.4865689428560716,700784.8125
RUS,2023,Omsk,0.2271142294642302,263192.6875
RUS,2023,Orel,0.4132898517077296,77213.703125
RUS,2023,Orenburg,0.5946811813642512,559281.0
RUS,2023,Penza,0.3432517546675588,113876.515625
RUS,2023,Perm',0.4654422050293845,679443.6875
RUS,2023,Primor'ye,0.1568017568306905,167661.0625
RUS,2023,Pskov,0.1376336928072794,65101.5625
RUS,2023,Rostov,0.3541548075118111,247150.828125
RUS,2023,Ryazan',0.5640689721339448,177847.5625
RUS,2023,Sakha,0.0369792139165012,1305201.25
RUS,2023,Sakhalin,0.2714075426174541,165611.796875
RUS,2023,Samara,1.1574788135081835,479540.0
RUS,2023,Saratov,0.3055970950722929,230129.28125
RUS,2023,Smolensk,0.5336904902236178,212790.9375
RUS,2023,Stavropol',0.3634438806989023,160520.078125
RUS,2023,Sverdlovsk,0.4008028801894712,691812.625
RUS,2023,Tambov,0.5179585957533812,135532.671875
RUS,2023,Tatarstan,1.8047412259636764,1014571.375
RUS,2023,Tomsk,0.1532285652842354,427867.9375
RUS,2023,Tula,1.146231419028512,229673.828125
RUS,2023,Tuva,0.0196861898188818,24829.71875
RUS,2023,Tver',0.3427456301771864,247020.203125
RUS,2023,Tyumen',0.447496821233143,614491.0
RUS,2023,Udmurt,0.6625015973700619,235886.34375
RUS,2023,Ul'yanovsk,0.4115061993905318,119373.421875
RUS,2023,Vladimir,0.8758074478298373,211186.953125
RUS,2023,Volgograd,0.4763524048045358,384965.625
RUS,2023,Vologda,0.1969550140674352,267134.8125
RUS,2023,Voronezh,0.6094483704705417,232321.109375
RUS,2023,Yamal-Nenets,0.4168612849925892,3405688.75
RUS,2023,Yaroslavl',0.9738305442351508,303474.8125
RUS,2023,Yevrey,0.0676701722263354,17045.845703125
RUS,2023,Zabaykal'ye,0.0334470660490985,110717.8828125
RUS,2012,Adygey,0.5582326967669587,29370.296875
RUS,2012,Altay,0.0809843381286144,103711.296875
RUS,2012,Amur,0.0308876312614186,87777.953125
RUS,2012,Arkhangel'sk,0.0360243803630857,178704.234375
RUS,2012,Astrakhan',0.3028566041437703,95897.7265625
RUS,2012,Bashkortostan,0.3469458245252347,397833.0625
RUS,2012,Belgorod,0.5488470271794551,114103.1015625
RUS,2012,Bryansk,0.1512462702396526,39885.91015625
RUS,2012,Buryat,0.0206191897901996,57162.62109375
RUS,2012,Chechnya,1.1180685653081686,108172.015625
RUS,2012,Chelyabinsk,0.7087671251447195,503220.40625
RUS,2012,Chukot,0.0020902804377423,17454.70703125
RUS,2012,Chuvash,0.4193463144234211,63253.359375
RUS,2012,City of St. Petersburg,31.60630059256124,597390.6875
RUS,2012,Dagestan,0.2919482069266506,91812.1640625
RUS,2012,Gorno-Altay,0.0104150536306267,7107.31591796875
RUS,2012,Ingush,1.1983882164241644,24667.623046875
RUS,2012,Irkutsk,0.1597086468915678,1053342.25
RUS,2012,Ivanovo,0.4100088106997211,82643.8359375
RUS,2012,Kabardin-Balkar,0.2610876208575021,19624.912109375
RUS,2012,Kaliningrad,0.5369261027178864,58347.22265625
RUS,2012,Kalmyk,0.0111178836881495,5586.7587890625
RUS,2012,Kaluga,0.5674981302747644,130987.6484375
RUS,2012,Kamchatka,0.0053241059747792,21890.63671875
RUS,2012,Karachay-Cherkess,0.1954265521224836,18978.849609375
RUS,2012,Karelia,0.0451040215761689,81408.609375
RUS,2012,Kemerovo,0.5756684160113122,442937.125
RUS,2012,Khabarovsk,0.0150637163703259,95005.8046875
RUS,2012,Khakass,0.0776619988753033,36096.67578125
RUS,2012,Khanty-Mansiy,0.6305381032399426,3309936.0
RUS,2012,Kirov,0.0709420563765039,75752.140625
RUS,2012,Komi,0.141473827735682,626987.8125
RUS,2012,Kostroma,0.1156072205939399,61690.671875
RUS,2012,Krasnodar,0.5997002905345599,303529.90625
RUS,2012,Krasnoyarsk,0.1306813620131265,3694888.75
RUS,2012,Kurgan,0.1291457477579601,77186.5390625
RUS,2012,Kursk,0.2035181097614736,47320.19921875
RUS,2012,Leningrad,0.6260588722028149,494636.59375
RUS,2012,Lipetsk,0.6025519986929747,112716.9921875
RUS,2012,Magadan,0.007664573585594,35710.78125
RUS,2012,Mariy-El,0.2145463763348204,42513.22265625
RUS,2012,Mordovia,0.258445258887153,53930.2890625
RUS,2012,Moscow City,62.24385030437189,562373.1875
RUS,2012,Moskva,3.272917654599555,1256139.25
RUS,2012,Murmansk,0.1533912511412667,269648.78125
RUS,2012,Nenets,0.148891978664663,322609.3125
RUS,2012,Nizhegorod,0.4845675703196128,303373.21875
RUS,2012,North Ossetia,0.6671330222952813,30184.43359375
RUS,2012,Novgorod,0.1994262469901815,98062.671875
RUS,2012,Novosibirsk,0.1961530937512584,282511.0625
RUS,2012,Omsk,0.1560709980359941,180863.8125
RUS,2012,Orel,0.1565907020599271,29255.37109375
RUS,2012,Orenburg,0.5328605277456426,501140.40625
RUS,2012,Penza,0.2082228895007807,69079.609375
RUS,2012,Perm',0.2613736238517969,381548.25
RUS,2012,Primor'ye,0.0864451987014323,92431.9609375
RUS,2012,Pskov,0.0849306582527494,40172.7109375
RUS,2012,Rostov,0.2794700968387688,195031.28125
RUS,2012,Ryazan',0.2811116866321592,88632.828125
RUS,2012,Sakha,0.006765583407455,238794.90625
RUS,2012,Sakhalin,0.2000606413758857,122076.203125
RUS,2012,Samara,0.7356280639251551,304768.5
RUS,2012,Saratov,0.2097003403169519,157914.421875
RUS,2012,Smolensk,0.2062167213003742,82221.90625
RUS,2012,Stavropol',0.1889680984866323,83460.40625
RUS,2012,Sverdlovsk,0.2940219911799484,507501.65625
RUS,2012,Tambov,0.1548763403247257,40526.02734375
RUS,2012,Tatarstan,1.0797910329615596,607026.125
RUS,2012,Tomsk,0.2276831870348677,635771.375
RUS,2012,Tula,0.4533978505088011,90848.6875
RUS,2012,Tuva,0.0070589592590658,8903.2958984375
RUS,2012,Tver',0.2161895691401534,155809.984375
RUS,2012,Tyumen',0.2808964168051536,385719.65625
RUS,2012,Udmurt,0.3461982768063271,123265.28125
RUS,2012,Ul'yanovsk,0.235017232857847,68175.9140625
RUS,2012,Vladimir,0.5488373425149502,132343.34375
RUS,2012,Volgograd,0.151246509401685,122230.3203125
RUS,2012,Vologda,0.1122147183305758,152199.515625
RUS,2012,Voronezh,0.2750958570851445,104866.265625
RUS,2012,Yamal-Nenets,0.2855349806856612,2332774.25
RUS,2012,Yaroslavl',0.583903788146199,181961.9375
RUS,2012,Yevrey,0.0405088356777201,10204.013671875
RUS,2012,Zabaykal'ye,0.0239889796954422,79409.328125
RUS,2013,Adygey,0.6318013579105924,33240.96484375
RUS,2013,Altay,0.0760137898494027,97345.84375
RUS,2013,Amur,0.0339782258322753,96560.953125
RUS,2013,Arkhangel'sk,0.0327612758980834,162517.125
RUS,2013,Astrakhan',0.2465141748304089,78057.234375
RUS,2013,Bashkortostan,0.4321288040520741,495510.0
RUS,2013,Belgorod,0.6721775851868241,139743.03125
RUS,2013,Bryansk,0.2149651375537986,56689.53125
RUS,2013,Buryat,0.0213524139302824,59195.33984375
RUS,2013,Chechnya,1.1519500524553226,111450.015625
RUS,2013,Chelyabinsk,0.7303079321797086,518514.25
RUS,2013,Chukot,0.0023629685456313,19731.765625
RUS,2013,Chuvash,0.602394311280977,90863.953125
RUS,2013,City of St. Petersburg,35.321137109147664,667604.8125
RUS,2013,Dagestan,0.3059318368995265,96209.75
RUS,2013,Gorno-Altay,0.0161235390429918,11002.83203125
RUS,2013,Ingush,1.3115942221506995,26997.85546875
RUS,2013,Irkutsk,0.1679304201307608,1107568.125
RUS,2013,Ivanovo,0.4279993510190211,86270.1171875
RUS,2013,Kabardin-Balkar,0.2911296694566027,21883.052734375
RUS,2013,Kaliningrad,0.5314509039491483,57752.23828125
RUS,2013,Kalmyk,0.0107806590508594,5417.302734375
RUS,2013,Kaluga,0.7899788142936365,182339.75
RUS,2013,Kamchatka,0.0162932737477648,66991.5546875
RUS,2013,Karachay-Cherkess,0.2693073289399166,26153.78125
RUS,2013,Karelia,0.0522210307949214,94254.15625
RUS,2013,Kemerovo,0.5546446822392131,426760.8125
RUS,2013,Khabarovsk,0.0199148781082872,125601.7421875
RUS,2013,Khakass,0.0666513277041128,30979.00390625
RUS,2013,Khanty-Mansiy,0.5327519443713671,2796619.0
RUS,2013,Kirov,0.085888238514033,91711.71875
RUS,2013,Komi,0.1110174546445722,492010.375
RUS,2013,Kostroma,0.125931413071588,67199.8984375
RUS,2013,Krasnodar,0.6317125609519971,319732.46875
RUS,2013,Krasnoyarsk,0.1343787479181425,3799428.75
RUS,2013,Kurgan,0.1126754077291816,67342.7109375
RUS,2013,Kursk,0.221425814262551,51483.9375
RUS,2013,Leningrad,0.7923152560500203,625992.4375
RUS,2013,Lipetsk,0.8492586673954647,158867.421875
RUS,2013,Magadan,0.008559834406926,39881.98046875
RUS,2013,Mariy-El,0.2861068206420259,56693.2109375
RUS,2013,Mordovia,0.3899635252932832,81374.46875
RUS,2013,Moscow City,72.5379911455451,655380.75
RUS,2013,Moskva,4.381195967670493,1681494.25
RUS,2013,Murmansk,0.1883841084466541,331163.25
RUS,2013,Nenets,0.201229765628822,436011.375
RUS,2013,Nizhegorod,0.609780056543198,381765.0
RUS,2013,North Ossetia,0.8553306131893027,38699.43359375
RUS,2013,Novgorod,0.2670066821021549,131293.59375
