country_code,year,quarter,cu_pct,ip_index,electricity_twh,inflation_cpi_pct,gdp_per_capita_usd,unemployment_pct,trade_pct_gdp,m2_pct_gdp
USA,2010,1,68.30967,89.7711,4113.94,1.6400434423899,48642.6100179312,9.633,28.2198952346731,84.8488194548099
USA,2010,2,70.30566,91.47163333333333,4113.94,1.6400434423899,48642.6100179312,9.633,28.2198952346731,84.8488194548099
USA,2010,3,71.35333,92.65876666666666,4113.94,1.6400434423899,48642.6100179312,9.633,28.2198952346731,84.8488194548099
USA,2010,4,71.95647,93.04663333333333,4113.94,1.6400434423899,48642.6100179312,9.633,28.2198952346731,84.8488194548099
USA,2011,1,72.7394,93.5568,4088.87,3.156841568622,50024.868799398,8.949,30.8424862411943,87.3236854752959
USA,2011,2,72.84464,93.94496666666667,4088.87,3.156841568622,50024.868799398,8.949,30.8424862411943,87.3236854752959
USA,2011,3,73.62064,95.03566666666666,4088.87,3.156841568622,50024.868799398,8.949,30.8424862411943,87.3236854752959
USA,2011,4,74.16493,96.02080000000001,4088.87,3.156841568622,50024.868799398,8.949,30.8424862411943,87.3236854752959
USA,2012,1,74.91433,96.97176666666667,4040.67,2.06933726526067,51708.4011556577,8.069,30.6818353657295,87.9168403553935
USA,2012,2,74.77937,97.5877,4040.67,2.06933726526067,51708.4011556577,8.069,30.6818353657295,87.9168403553935
USA,2012,3,74.32713,97.56826666666666,4040.67,2.06933726526067,51708.4011556577,8.069,30.6818353657295,87.9168403553935
USA,2012,4,74.34467,98.0357,4040.67,2.06933726526067,51708.4011556577,8.069,30.6818353657295,87.9168403553935
USA,2013,1,74.74067,98.77346666666666,4055.61,1.46483265562717,53179.0127634561,7.375,30.0079539684645,88.6600822295295
USA,2013,2,74.7666,99.2267,4055.61,1.46483265562717,53179.0127634561,7.375,30.0079539684645,88.6600822295295
USA,2013,3,74.8678,99.63223333333333,4055.61,1.46483265562717,53179.0127634561,7.375,30.0079539684645,88.6600822295295
USA,2013,4,75.27753,100.3051,4055.61,1.46483265562717,53179.0127634561,7.375,30.0079539684645,88.6600822295295
USA,2014,1,75.2147,100.99029999999999,4096.01,1.62222297740817,54973.4207515712,6.168,30.0044781614855,89.4921844451816
USA,2014,2,76.26453,102.37046666666667,4096.01,1.62222297740817,54973.4207515712,6.168,30.0044781614855,89.4921844451816
USA,2014,3,76.74683,102.93203333333334,4096.01,1.62222297740817,54973.4207515712,6.168,30.0044781614855,89.4921844451816
USA,2014,4,77.04787,103.4978,4096.01,1.62222297740817,54973.4207515712,6.168,30.0044781614855,89.4921844451816
USA,2015,1,76.65443,102.33846666666666,4083.99,0.118627135552451,56572.9188996063,5.28,27.8235649187872,88.9823670823258
USA,2015,2,76.8107,100.9316,4083.99,0.118627135552451,56572.9188996063,5.28,27.8235649187872,88.9823670823258
USA,2015,3,77.12517,101.00473333333333,4083.99,0.118627135552451,56572.9188996063,5.28,27.8235649187872,88.9823670823258
USA,2015,4,76.62113,99.613,4083.99,0.118627135552451,56572.9188996063,5.28,27.8235649187872,88.9823670823258
USA,2016,1,76.4745,98.97160000000001,4087.56,1.26158320570536,57638.1018367192,4.869,26.6079620604584,89.9901690829483
USA,2016,2,76.186,98.64793333333334,4087.56,1.26158320570536,57638.1018367192,4.869,26.6079620604584,89.9901690829483
USA,2016,3,76.06123,98.86496666666666,4087.56,1.26158320570536,57638.1018367192,4.869,26.6079620604584,89.9901690829483
USA,2016,4,76.06287,98.71053333333333,4087.56,1.26158320570536,57638.1018367192,4.869,26.6079620604584,89.9901690829483
USA,2017,1,76.13523,98.71313333333335,4052.31,2.13011000365961,59635.0984397965,4.355,27.3130208877206,90.523830668235
USA,2017,2,77.01984,100.1701,4052.31,2.13011000365961,59635.0984397965,4.355,27.3130208877206,90.523830668235
USA,2017,3,76.93913,99.86489999999999,4052.31,2.13011000365961,59635.0984397965,4.355,27.3130208877206,90.523830668235
USA,2017,4,77.96363,101.25183333333332,4052.31,2.13011000365961,59635.0984397965,4.355,27.3130208877206,90.523830668235
USA,2018,1,78.23116,101.79256666666667,4201.55,2.44258329692817,62499.8744390068,3.896,27.6103792720958,89.3303888953359
USA,2018,2,78.80556,102.97776666666665,4201.55,2.44258329692817,62499.8744390068,3.896,27.6103792720958,89.3303888953359
USA,2018,3,79.16177,103.83256666666666,4201.55,2.44258329692817,62499.8744390068,3.896,27.6103792720958,89.3303888953359
